  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
  -3   -4   -3       9    8    9       1    1      8.60998998000000  -0.05558024142589
  -3   -3    0       9    9    0       1    1      8.60998998000000   0.07573497099171
  -3   -3   -4       9    9    8       1    1      8.60998998000000  -0.05557496713513
  -1    0    3      11    0    3       1    1      8.60998998000000  -0.05558024142589
  -1    3    0      11    3    0       1    1      8.60998998000000  -0.05557496713513
  -1   -4   -1      11    8   11       1    1      8.60998998000000  -0.05559424079150
  -1   -1   -4      11   11    8       1    1      8.60998998000000  -0.05557496713513
   1    3    4       1    3    4       1    1      9.07572632267586  -0.15196122513776
   1    4    3       1    4    3       1    1      9.07572632267586  -0.15176696402566
   1   -3   -2       1    9   10       1    1      9.07572632267586  -0.15212482868055
   1   -2   -3       1   10    9       1    1      9.07572632267586  -0.15176696402566
   2    3   -1       2    3   11       1    1      9.07572632267586  -0.15196187288960
   2   -1    3       2   11    3       1    1      9.07572632267586  -0.15176696402566
   3    1    4       3    1    4       1    1      9.07572632267586  -0.15212482868055
   3    2   -1       3    2   11       1    1      9.07572632267586  -0.15196187288960
   3   -1    2       3   11    2       1    1      9.07572632267586  -0.15196122513776
   4    1    3       4    1    3       1    1      9.07572632267586  -0.15176696402566
  -4   -1   -3       8   11    9       1    1      9.07572632267586  -0.15176696402566
  -3    1   -2       9    1   10       1    1      9.07572632267586  -0.15196122513776
  -3   -2    1       9   10    1       1    1      9.07572632267586  -0.15196187288960
  -3   -1   -4       9   11    8       1    1      9.07572632267586  -0.15212482868055
  -2    1   -3      10    1    9       1    1      9.07572632267586  -0.15176696402566
  -2   -3    1      10    9    1       1    1      9.07572632267586  -0.15196187288960
  -1    2    3      11    2    3       1    1      9.07572632267586  -0.15176696402566
  -1    3    2      11    3    2       1    1      9.07572632267586  -0.15212482868055
  -1   -4   -3      11    8    9       1    1      9.07572632267586  -0.15176696402566
  -1   -3   -4      11    9    8       1    1      9.07572632267586  -0.15196122513776
   3    4    1       3    4    1       1    1      9.07572632267587  -0.15196187288960
   4    3    1       4    3    1       1    1      9.07572632267587  -0.15196187288960
  -4   -3   -1       8    9   11       1    1      9.07572632267587  -0.15196187288960
  -3   -4   -1       9    8   11       1    1      9.07572632267587  -0.15196187288960
   0    1    4       0    1    4       1    1      9.40991333145104   0.60661436735969
   0    4    1       0    4    1       1    1      9.40991333145104   0.60668170310475
   0   -4   -1       0    8   11       1    1      9.40991333145104   0.60668170310475
   0   -1   -4       0   11    8       1    1      9.40991333145104   0.60661436735969
   1    0    4       1    0    4       1    1      9.40991333145104   0.60668170310475
   1    1   -3       1    1    9       1    1      9.40991333145104   0.60647918850651
   1    4    0       1    4    0       1    1      9.40991333145104   0.60647918850651
   1   -3    1       1    9    1       1    1      9.40991333145104   0.60661436735969
   3   -1   -1       3   11   11       1    1      9.40991333145104   0.60668170310474
   4    0    1       4    0    1       1    1      9.40991333145104   0.60661436735969
   4    1    0       4    1    0       1    1      9.40991333145104   0.60647918850651
   4    4    3       4    4    3       1    1      9.40991333145104   0.60647918850651
  -4    0   -1       8    0   11       1    1      9.40991333145104   0.60661436735969
  -4   -4   -3       8    8    9       1    1      9.40991333145104   0.60647918850651
  -4   -1    0       8   11    0       1    1      9.40991333145104   0.60647918850651
  -3    1    1       9    1    1       1    1      9.40991333145104   0.60668170310474
  -1    0   -4      11    0    8       1    1      9.40991333145104   0.60668170310475
  -1    3   -1      11    3   11       1    1      9.40991333145104   0.60661436735969
  -1   -4    0      11    8    0       1    1      9.40991333145104   0.60647918850651
  -1   -1    3      11   11    3       1    1      9.40991333145104   0.60647918850651
   3    4    4       3    4    4       1    1      9.40991333145104   0.60661436735969
   4    3    4       4    3    4       1    1      9.40991333145104   0.60668170310474
  -4   -3   -4       8    9    8       1    1      9.40991333145104   0.60668170310474
  -3   -4   -4       9    8    8       1    1      9.40991333145104   0.60661436735969
   2    2   -2       2    2   10       1    1      9.51870207079320  -0.14950426248206
   2    4    0       2    4    0       1    1      9.51870207079320  -0.14950426248206
   4    2    0       4    2    0       1    1      9.51870207079320  -0.14950426248206
   4    4    2       4    4    2       1    1      9.51870207079320  -0.14950426248206
  -4   -4   -2       8    8   10       1    1      9.51870207079320  -0.14950426248206
  -4   -2    0       8   10    0       1    1      9.51870207079320  -0.14950426248206
  -2   -4    0      10    8    0       1    1      9.51870207079320  -0.14950426248206
  -2   -2    2      10   10    2       1    1      9.51870207079320  -0.14950426248206
   0    2    4       0    2    4       1    1      9.51870207079320  -0.14940349654140
   0    4    2       0    4    2       1    1      9.51870207079320  -0.14958603382437
   0   -4   -2       0    8   10       1    1      9.51870207079320  -0.14958603382437
   0   -2   -4       0   10    8       1    1      9.51870207079320  -0.14940349654140
   2    0    4       2    0    4       1    1      9.51870207079320  -0.14958603382437
   2    4    4       2    4    4       1    1      9.51870207079320  -0.14940349654141
   2   -2    2       2   10    2       1    1      9.51870207079320  -0.14940349654140
   2   -2   -2       2   10   10       1    1      9.51870207079320  -0.14958603382436
   4    0    2       4    0    2       1    1      9.51870207079320  -0.14940349654140
   4    2    4       4    2    4       1    1      9.51870207079320  -0.14958603382436
  -4    0   -2       8    0   10       1    1      9.51870207079320  -0.14940349654140
  -4   -2   -4       8   10    8       1    1      9.51870207079320  -0.14958603382436
  -2    0   -4      10    0    8       1    1      9.51870207079320  -0.14958603382437
  -2    2    2      10    2    2       1    1      9.51870207079320  -0.14958603382436
  -2    2   -2      10    2   10       1    1      9.51870207079320  -0.14940349654140
  -2   -4   -4      10    8    8       1    1      9.51870207079320  -0.14940349654141
   0    0    4       0    0    4       1    1      9.94196006534596  -0.26546959450630
   0    0   -4       0    0    8       1    1      9.94196006534596  -0.26546959450630
   0    4    0       0    4    0       1    1      9.94196006534596  -0.26546959450630
   0   -4    0       0    8    0       1    1      9.94196006534596  -0.26546959450630
   4    0    0       4    0    0       1    1      9.94196006534596  -0.26546959450630
   4    4    4       4    4    4       1    1      9.94196006534596  -0.26546959450630
  -4    0    0       8    0    0       1    1      9.94196006534596  -0.26546959450630
  -4   -4   -4       8    8    8       1    1      9.94196006534596  -0.26546959450630
   0    2   -3       0    2    9       1    1     10.24793786877351  -0.00906869518043
   0    3    4       0    3    4       1    1     10.24793786877351  -0.15035486609887
   0    3   -2       0    3   10       1    1     10.24793786877351  -0.00909721874942
   0    4    3       0    4    3       1    1     10.24793786877351  -0.15037724106120
   0   -4   -3       0    8    9       1    1     10.24793786877351  -0.15037724106120
   0   -3    2       0    9    2       1    1     10.24793786877351  -0.00909721874942
   0   -3   -4       0    9    8       1    1     10.24793786877351  -0.15035486609887
   0   -2    3       0   10    3       1    1     10.24793786877351  -0.00906869518043
   1    4    4       1    4    4       1    1     10.24793786877351  -0.15035486609887
   1   -3   -3       1    9    9       1    1     10.24793786877351  -0.15037724106120
   2    0   -3       2    0    9       1    1     10.24793786877351  -0.00909721874942
   2    2    5       2    2    5       1    1     10.24793786877351  -0.00914233556602
   2    5    2       2    5    2       1    1     10.24793786877351  -0.00906869518043
   2   -3    0       2    9    0       1    1     10.24793786877351  -0.00914233556602
   3    0    4       3    0    4       1    1     10.24793786877351  -0.15037724106120
   3    0   -2       3    0   10       1    1     10.24793786877351  -0.00906869518043
   3    3    5       3    3    5       1    1     10.24793786877351  -0.00914233556601
   3    3   -1       3    3   11       1    1     10.24793786877351  -0.15025372559341
   3    4    0       3    4    0       1    1     10.24793786877351  -0.15025372559342
   3    5    3       3    5    3       1    1     10.24793786877351  -0.00909721874942
   3   -2    0       3   10    0       1    1     10.24793786877351  -0.00914233556601
   3   -1    3       3   11    3       1    1     10.24793786877351  -0.15035486609887
   4    0    3       4    0    3       1    1     10.24793786877351  -0.15035486609887
   4    1    4       4    1    4       1    1     10.24793786877351  -0.15037724106121
   4    3    0       4    3    0       1    1     10.24793786877351  -0.15025372559341
   4    4    1       4    4    1       1    1     10.24793786877351  -0.15025372559341
   5    2    2       5    2    2       1    1     10.24793786877351  -0.00909721874942
   5    3    3       5    3    3       1    1     10.24793786877351  -0.00906869518043
  -5   -3   -3       7    9    9       1    1     10.24793786877351  -0.00906869518043
  -5   -2   -2       7   10   10       1    1     10.24793786877351  -0.00909721874942
  -4    0   -3       8    0    9       1    1     10.24793786877351  -0.15035486609887
  -4   -4   -1       8    8   11       1    1     10.24793786877351  -0.15025372559341
  -4   -3    0       8    9    0       1    1     10.24793786877351  -0.15025372559341
  -4   -1   -4       8   11    8       1    1     10.24793786877351  -0.15037724106121
  -3    0    2       9    0    2       1    1     10.24793786877351  -0.00906869518043
  -3    0   -4       9    0    8       1    1     10.24793786877351  -0.15037724106120
  -3    1   -3       9    1    9       1    1     10.24793786877351  -0.15035486609887
