  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
  -3   -4    1       7    6    1       1    1     20.71641242742668   0.00000004641348
  -3   -4   -1       7    6    9       1    1     20.71641242742668   0.00000004610467
   1   -2    1       1    8    1       1    1     20.73362819290099  -0.00000024755102
   1   -2   -1       1    8    9       1    1     20.73362819290099  -0.00000024760024
   2   -1    1       2    9    1       1    1     20.73362819290099  -0.00000023757309
   2   -1   -1       2    9    9       1    1     20.73362819290099  -0.00000023751275
  -2    1    1       8    1    1       1    1     20.73362819290099  -0.00000023751275
  -2    1   -1       8    1    9       1    1     20.73362819290099  -0.00000023757309
  -1    2    1       9    2    1       1    1     20.73362819290099  -0.00000024760024
  -1    2   -1       9    2    9       1    1     20.73362819290099  -0.00000024755102
   1   -1    3       1    9    3       1    1     20.89760372901843  -0.00000015425235
   1   -1   -3       1    9    7       1    1     20.89760372901843  -0.00000015426055
  -1    1    3       9    1    3       1    1     20.89760372901843  -0.00000015426055
  -1    1   -3       9    1    7       1    1     20.89760372901843  -0.00000015425235
   2    4    0       2    4    0       1    1     20.89760512272272  -0.00000114679496
   4    2    0       4    2    0       1    1     20.89760512272272  -0.00000116541310
  -4   -2    0       6    8    0       1    1     20.89760512272272  -0.00000116541310
  -2   -4    0       8    6    0       1    1     20.89760512272272  -0.00000114679496
   0    3    0       0    3    0       1    1     21.42366801846596  -0.00000181952067
   0   -3    0       0    7    0       1    1     21.42366801846596  -0.00000181952067
   3    0    0       3    0    0       1    1     21.42366801846596  -0.00000183755754
  -3    0    0       7    0    0       1    1     21.42366801846596  -0.00000183755754
   0    0    4       0    0    4       1    1     21.57413280000000  -0.00000055219566
   0    0   -4       0    0    6       1    1     21.57413280000000  -0.00000055219566
   4    4    0       4    4    0       1    1     21.57413520000000   0.00000027476425
  -4   -4    0       6    6    0       1    1     21.57413520000000   0.00000027476425
   0    2    3       0    2    3       1    1     21.58240136006249  -0.00000085695088
   0    2   -3       0    2    7       1    1     21.58240136006249  -0.00000085672065
   0   -2    3       0    8    3       1    1     21.58240136006249  -0.00000085672065
   0   -2   -3       0    8    7       1    1     21.58240136006249  -0.00000085695088
   2    0    3       2    0    3       1    1     21.58240136006249  -0.00000062758707
   2    0   -3       2    0    7       1    1     21.58240136006249  -0.00000062738638
  -2    0    3       8    0    3       1    1     21.58240136006249  -0.00000062738638
